lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_transversetemporal_thickness,lh_insula_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_transversetemporal_thickness,rh_insula_thickness
2.747,2.681,1.763,3.177,2.553,2.453,2.663,2.346,1.949,2.526,1.889,2.333,2.825,2.56,2.676,2.674,2.836,2.572,1.498,2.16,2.582,2.799,2.579,2.942,2.368,2.795,2.169,2.984,2.621,2.682,3.224,2.599,2.647,1.894,2.993,2.639,2.507,2.855,2.443,1.956,2.538,1.974,2.423,2.797,2.535,2.496,2.7,2.82,2.599,1.495,2.025,2.569,2.757,2.537,3.123,2.383,2.768,2.112,2.843,2.538,2.498,3.112
2.695,2.819,2.122,3.148,2.835,2.594,3.128,2.284,2.151,2.845,1.81,2.852,3.147,2.24,2.821,2.898,2.984,2.76,1.772,2.228,2.535,3.027,2.741,3.118,2.585,3.085,2.444,3.104,2.821,2.938,3.557,2.509,2.75,2.014,2.983,2.849,2.634,2.958,2.278,2.123,2.767,1.944,2.208,3.097,2.34,2.83,2.889,2.755,2.492,1.562,2.359,2.597,2.979,2.591,2.892,2.629,2.995,2.33,3.127,2.865,3.06,3.358
2.502,2.425,1.83,2.929,2.501,2.279,2.669,2.138,1.854,2.395,1.818,2.312,2.646,2.337,2.335,2.449,2.513,2.39,1.346,2.004,2.432,2.41,2.245,2.445,2.338,2.695,2.053,2.709,2.418,2.267,3.024,2.523,2.422,1.735,2.921,2.518,2.341,2.656,2.158,1.914,2.526,1.795,2.373,2.632,2.537,2.295,2.615,2.314,2.453,1.397,2.074,2.317,2.49,2.256,2.79,2.403,2.693,2.012,2.764,2.461,2.478,3.005
2.914,2.555,1.972,3.373,2.698,2.5,2.897,2.456,2.24,2.635,2.06,2.288,3.002,2.878,2.49,2.573,2.539,2.401,1.386,2.192,2.674,2.672,2.571,3.148,2.308,2.715,2.242,2.988,2.634,2.775,3.048,2.709,2.614,1.986,3.151,2.648,2.476,2.893,2.538,2.124,2.413,2.01,2.444,2.861,3.185,2.524,2.619,2.651,2.407,1.397,2.001,2.653,2.515,2.435,2.915,2.496,2.683,2.139,3.065,2.583,2.609,3.176
2.725,2.629,1.966,3.19,2.599,2.444,2.597,2.486,2.057,2.419,2.035,2.377,2.589,2.563,2.62,2.774,2.457,2.371,1.675,2.15,2.676,2.846,2.45,2.718,2.277,2.692,2.265,2.836,2.587,2.406,3.147,3.095,2.586,2.044,3.2,2.69,2.434,2.651,2.418,2.005,2.672,2.089,2.586,2.801,2.614,2.726,2.688,2.643,2.511,1.666,2.001,2.613,2.726,2.472,2.729,2.365,2.706,2.226,2.919,2.514,2.625,3.055
2.761,2.55,1.762,3.291,2.726,2.418,2.856,2.248,2.042,2.636,1.903,2.403,2.718,2.827,2.404,2.679,2.595,2.353,1.385,2.073,2.534,2.52,2.306,2.802,2.291,2.658,2.136,2.943,2.688,2.269,3.109,2.592,2.461,1.706,3.134,2.756,2.239,2.909,2.329,2.11,2.417,1.909,2.399,2.792,2.841,2.34,2.588,2.621,2.416,1.499,2.047,2.607,2.509,2.281,2.688,2.362,2.663,1.992,2.996,2.67,2.678,3.07
2.659,2.486,1.949,2.808,2.624,2.386,2.655,2.352,1.965,2.39,1.844,2.269,2.564,2.639,2.286,2.512,2.655,2.335,1.49,1.981,2.578,2.445,2.236,2.649,2.274,2.633,1.989,2.527,2.425,2.505,2.879,2.696,2.446,1.767,3.03,2.716,2.351,2.533,2.359,2.018,2.443,1.826,2.239,2.633,2.615,2.354,2.53,2.589,2.432,1.529,1.908,2.548,2.349,2.321,2.647,2.239,2.67,2.09,2.712,2.293,2.337,2.904
2.615,2.533,1.958,2.619,2.55,2.529,2.508,2.266,2.006,2.355,1.967,2.174,2.447,2.678,2.516,2.57,2.53,2.34,1.528,2.032,2.385,2.556,2.399,2.528,2.207,2.707,2.3,2.761,2.597,2.055,2.897,2.375,2.586,1.941,2.564,2.58,2.461,2.577,2.175,2.0,2.274,1.98,2.189,2.645,2.533,2.371,2.626,2.643,2.328,1.519,2.065,2.528,2.446,2.484,2.352,2.392,2.767,2.187,2.838,2.635,2.05,2.982
2.789,2.61,1.972,3.124,2.729,2.536,2.761,2.467,2.021,2.548,1.961,2.992,2.698,3.042,2.655,2.713,2.67,2.492,1.474,2.036,2.562,2.663,2.486,2.877,2.319,2.868,2.143,2.969,2.616,2.292,3.129,2.539,2.753,1.985,3.081,2.766,2.406,2.738,2.322,2.052,2.589,2.038,2.584,2.878,3.083,2.284,2.793,2.507,2.537,1.682,2.089,2.506,2.715,2.315,2.8,2.391,2.746,2.111,3.116,2.57,2.4,3.078
2.786,2.612,1.811,2.999,2.733,2.266,2.582,2.367,2.129,2.513,1.868,2.429,2.693,2.95,2.446,2.713,2.605,2.5,1.452,2.086,2.576,2.646,2.43,2.972,2.403,2.696,2.18,2.823,2.552,2.696,3.185,2.762,2.558,1.883,3.016,2.592,2.279,2.466,2.644,2.059,2.386,1.94,2.359,2.756,2.548,2.256,2.66,2.709,2.601,1.495,1.987,2.57,2.591,2.348,2.841,2.434,2.659,2.153,2.962,2.489,3.019,3.132
